videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,22,416,240,16,64,192,64,207,127,2,1,2,BI_HORZ,3586187,3586187,0,436.1185150146485,520.55078125,22432.0,3456.0,6.4907407407407405,533044.0,506.093505859375,524.984375,10784.0,5408.0,1.9940828402366864,268792.0,326.83001708984375,516.1171875,11648.0,64352.0,0.1810044753853804,264252.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,192,64,207,127,2,1,2,BI_HORZ,1400191,1400191,0,436.1185150146485,520.55078125,22432.0,3456.0,6.4907407407407405,533044.0,506.093505859375,524.984375,10784.0,5408.0,1.9940828402366864,268792.0,326.83001708984375,516.1171875,11648.0,64352.0,0.1810044753853804,264252.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,192,64,207,127,2,1,1,BI_HORZ,862214,862214,0,436.1185150146485,520.55078125,22432.0,3456.0,6.4907407407407405,533044.0,506.093505859375,524.984375,10784.0,5408.0,1.9940828402366864,268792.0,326.83001708984375,516.1171875,11648.0,64352.0,0.1810044753853804,264252.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,192,64,207,127,3,1,1,BI_HORZ,2271708,2271708,0,437.79339599609375,520.3359375,22464.0,3584.0,6.267857142857142,532824.0,508.83984375,524.6875,10688.0,5536.0,1.930635838150289,268640.0,328.874755859375,515.984375,11776.0,64160.0,0.1835411471321696,264184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,192,64,207,127,3,1,1,BI_HORZ,914201,914201,0,437.79339599609375,520.3359375,22464.0,3584.0,6.267857142857142,532824.0,508.83984375,524.6875,10688.0,5536.0,1.930635838150289,268640.0,328.874755859375,515.984375,11776.0,64160.0,0.1835411471321696,264184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,208,64,223,127,2,1,2,BI_HORZ,3657244,3657244,0,359.23936462402344,508.58203125,54880.0,65120.0,0.8427518427518428,520788.0,391.406005859375,512.984375,59200.0,63968.0,0.9254627313656828,262648.0,288.31146240234375,504.1796875,61216.0,62592.0,0.9780163599182004,258140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,208,64,223,127,2,1,2,BI_HORZ,1537270,1537270,0,359.23936462402344,508.58203125,54880.0,65120.0,0.8427518427518428,520788.0,391.406005859375,512.984375,59200.0,63968.0,0.9254627313656828,262648.0,288.31146240234375,504.1796875,61216.0,62592.0,0.9780163599182004,258140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,256,0,271,63,1,1,1,BI_HORZ,2978489,2978489,0,4749.8680267333975,493.63671875,1152.0,42400.0,0.02716981132075472,505484.0,6280.894287109375,518.890625,2272.0,44064.0,0.05156136528685548,265672.0,1943.322204589844,468.3828125,64416.0,62080.0,1.0376288659793815,239812.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,256,0,271,63,1,1,1,BI_HORZ,1195007,1195007,0,4749.8680267333975,493.63671875,1152.0,42400.0,0.02716981132075472,505484.0,6280.894287109375,518.890625,2272.0,44064.0,0.05156136528685548,265672.0,1943.322204589844,468.3828125,64416.0,62080.0,1.0376288659793815,239812.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,304,0,319,63,1,1,1,BI_HORZ,2423885,2423885,0,4873.981918334961,487.81640625,1024.0,4224.0,0.24242424242424246,499524.0,9112.619079589844,502.6171875,65312.0,3584.0,18.223214285714285,257340.0,197.218505859375,473.015625,1248.0,288.0,4.333333333333333,242184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,304,0,319,63,1,1,1,BI_HORZ,1119778,1119778,0,4873.981918334961,487.81640625,1024.0,4224.0,0.24242424242424246,499524.0,9112.619079589844,502.6171875,65312.0,3584.0,18.223214285714285,257340.0,197.218505859375,473.015625,1248.0,288.0,4.333333333333333,242184.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,304,0,319,63,2,1,1,BI_HORZ,3632873,3632873,0,4879.616638183594,488.4765625,928.0,4192.0,0.22137404580152675,500200.0,9120.630798339844,503.3671875,65440.0,3744.0,17.478632478632473,257724.0,195.14105224609372,473.5859375,1024.0,448.0,2.2857142857142856,242476.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,16,64,304,0,319,63,2,1,2,BI_HORZ,3606400,3606400,0,4879.616638183594,488.4765625,928.0,4192.0,0.22137404580152675,500200.0,9120.630798339844,503.3671875,65440.0,3744.0,17.478632478632473,257724.0,195.14105224609372,473.5859375,1024.0,448.0,2.2857142857142856,242476.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,16,64,304,0,319,63,2,1,2,BI_HORZ,1644956,1644956,0,4879.616638183594,488.4765625,928.0,4192.0,0.22137404580152675,500200.0,9120.630798339844,503.3671875,65440.0,3744.0,17.478632478632473,257724.0,195.14105224609372,473.5859375,1024.0,448.0,2.2857142857142856,242476.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,16,64,304,0,319,63,2,1,1,BI_HORZ,853336,853336,0,4879.616638183594,488.4765625,928.0,4192.0,0.22137404580152675,500200.0,9120.630798339844,503.3671875,65440.0,3744.0,17.478632478632473,257724.0,195.14105224609372,473.5859375,1024.0,448.0,2.2857142857142856,242476.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
